speno,standardlength_cm,curvilinearlength_cm,standardsupinelength_cm,hipgirth_cm,maxgirth_cm,axillarygirth_cm,mass_kg,blubberthickness_cm,blubberdepthrightlateralhipa,blubberdepthrightlateralhipb,blubberdepthdorsalhipa_cm,blubberdepthdorsalhipb_cm,blubberdepthdorsalaxillarya,blubberdepthdorsalaxillaryb,blubberdepthlateralaxillarya,blubberdepthlateralaxillaryb,condition,morphometriccomments
PV2016_1004,75,79,NA,53,69,68,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_32,NA,NA,NA,NA,152.5,139,228.5,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2017_3017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2017_3129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2014_1002,134.5,151.5,NA,95,121.5,120.5,90.4,NA,2.65,NA,2.9,NA,2.19,NA,2.21,NA,NA,ultrasound
PH2005_5997,NA,NA,NA,NA,NA,136,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2009_1001,118,135,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS2018_1505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2017_3150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2017_3158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2017_3151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2017_3174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_1050,NA,NA,NA,NA,163.5,140,250,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_14,NA,NA,NA,NA,166,152,290,5.8,NA,NA,NA,NA,NA,NA,NA,NA,excellent,NA
EB1991_122,NA,NA,NA,NA,126,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
